devious	нечестный_ADJ
bizarre	странный_ADJ
venomous	злобный_ADJ
erratic	непредсказуемый_ADJ
barbaric	варварский_ADJ
frightening	пугающий_VERB
deceitful	лживый_ADJ
deceptive	обманывать_VERB
envious	завистливый_ADJ
greedy	жадный_ADJ
hateful	омерзительный_ADJ
contemptible	жалкий_ADJ
brutal	жестокий_ADJ
monstrous	чудовищный_ADJ
calculating	лукавый_ADJ
cruel	безжалостный_ADJ
intolerant	фанатичный_ADJ
aggressive	агрессивный_ADJ
