devious	нечестный
bizarre	странный
venomous	злобный
erratic	непредсказуемый
barbaric	варварский
frightening	пугающий
deceitful	лживый
deceptive	обманывать
envious	завистливый
greedy	жадный
hateful	омерзительный
contemptible	жалкий
brutal	жестокий
monstrous	чудовищный
calculating	лукавый
cruel	безжалостный
intolerant	фанатичный
aggressive	агрессивный
