alluring	соблазнительный
voluptuous	возбуждающий
blushing	застенчивый
homely	некрасивый
plump	пухлый
sensual	чувственный
gorgeous	замечательный
slim	стройный
bald	лысый
athletic	атлетический
fashionable	модный
stout	подтянутый
ugly	уродливый
muscular	жилистый
slender	тонкий
feeble	немощный
healthy	здоровый
attractive	привлекательный
fat	толстый
weak	слабый
pretty	хорошенький
beautiful	красивый
strong	сильный
